 Total battles: 403684
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 45.88639% | 370472 | 45.886% | 0      |  0.000% | 
 | 2    | Kyogre-Primal      | 44.28736% | 357562 | 44.287% | 0      |  0.000% | 
 | 3    | Kangaskhan-Mega    | 32.83212% | 265076 | 32.832% | 0      |  0.000% | 
 | 4    | Xerneas            | 31.84607% | 257115 | 31.846% | 0      |  0.000% | 
 | 5    | Rayquaza-Mega      | 28.72259% | 231897 | 28.723% | 0      |  0.000% | 
 | 6    | Smeargle           | 24.79477% | 200185 | 24.795% | 0      |  0.000% | 
 | 7    | Salamence-Mega     | 24.39185% | 196932 | 24.392% | 0      |  0.000% | 
 | 8    | Talonflame         | 20.16627% | 162816 | 20.166% | 0      |  0.000% | 
 | 9    | Raichu             | 19.88436% | 160540 | 19.884% | 0      |  0.000% | 
 | 10   | Gengar-Mega        | 19.17948% | 154849 | 19.179% | 0      |  0.000% | 
 | 11   | Bronzong           | 18.88978% | 152510 | 18.890% | 0      |  0.000% | 
 | 12   | Thundurus          | 15.17003% | 122478 | 15.170% | 0      |  0.000% | 
 | 13   | Hitmontop          | 14.70556% | 118728 | 14.706% | 0      |  0.000% | 
 | 14   | Cresselia          | 13.79198% | 111352 | 13.792% | 0      |  0.000% | 
 | 15   | Ferrothorn         | 13.66366% | 110316 | 13.664% | 0      |  0.000% | 
 | 16   | Crobat             | 11.30909% | 91306  | 11.309% | 0      |  0.000% | 
 | 17   | Yveltal            | 10.92364% | 88194  | 10.924% | 0      |  0.000% | 
 | 18   | Amoonguss          |  9.41962% | 76051  |  9.420% | 0      |  0.000% | 
 | 19   | Whimsicott         |  9.37961% | 75728  |  9.380% | 0      |  0.000% | 
 | 20   | Mawile-Mega        |  7.78666% | 62867  |  7.787% | 0      |  0.000% | 
 | 21   | Landorus-Therian   |  7.64955% | 61760  |  7.650% | 0      |  0.000% | 
 | 22   | Weavile            |  6.69261% | 54034  |  6.693% | 0      |  0.000% | 
 | 23   | Scrafty            |  5.98401% | 48313  |  5.984% | 0      |  0.000% | 
 | 24   | Aegislash          |  4.88501% | 39440  |  4.885% | 0      |  0.000% | 
 | 25   | Dialga             |  4.22806% | 34136  |  4.228% | 0      |  0.000% | 
 | 26   | Gengar             |  4.00970% | 32373  |  4.010% | 0      |  0.000% | 
 | 27   | Togekiss           |  3.93736% | 31789  |  3.937% | 0      |  0.000% | 
 | 28   | Greninja           |  3.69373% | 29822  |  3.694% | 0      |  0.000% | 
 | 29   | Meowstic           |  3.25007% | 26240  |  3.250% | 0      |  0.000% | 
 | 30   | Arcanine           |  3.14008% | 25352  |  3.140% | 0      |  0.000% | 
 | 31   | Zapdos             |  2.99938% | 24216  |  2.999% | 0      |  0.000% | 
 | 32   | Manectric-Mega     |  2.90277% | 23436  |  2.903% | 0      |  0.000% | 
 | 33   | Liepard            |  2.81198% | 22703  |  2.812% | 0      |  0.000% | 
 | 34   | Sylveon            |  2.75909% | 22276  |  2.759% | 0      |  0.000% | 
 | 35   | Ditto              |  2.60365% | 21021  |  2.604% | 0      |  0.000% | 
 | 36   | Scizor             |  2.42876% | 19609  |  2.429% | 0      |  0.000% | 
 | 37   | Sableye            |  2.26514% | 18288  |  2.265% | 0      |  0.000% | 
 | 38   | Kyurem-White       |  2.09421% | 16908  |  2.094% | 0      |  0.000% | 
 | 39   | Ludicolo           |  2.01928% | 16303  |  2.019% | 0      |  0.000% | 
 | 40   | Giratina-Origin    |  1.87932% | 15173  |  1.879% | 0      |  0.000% | 
 | 41   | Clefairy           |  1.79212% | 14469  |  1.792% | 0      |  0.000% | 
 | 42   | Mewtwo             |  1.63308% | 13185  |  1.633% | 0      |  0.000% | 
 | 43   | Suicune            |  1.63061% | 13165  |  1.631% | 0      |  0.000% | 
 | 44   | Volcarona          |  1.61934% | 13074  |  1.619% | 0      |  0.000% | 
 | 45   | Sceptile-Mega      |  1.61116% | 13008  |  1.611% | 0      |  0.000% | 
 | 46   | Palkia             |  1.59717% | 12895  |  1.597% | 0      |  0.000% | 
 | 47   | Infernape          |  1.57846% | 12744  |  1.578% | 0      |  0.000% | 
 | 48   | Mewtwo-Mega-Y      |  1.56149% | 12607  |  1.561% | 0      |  0.000% | 
 | 49   | Ho-Oh              |  1.55691% | 12570  |  1.557% | 0      |  0.000% | 
 | 50   | Gardevoir-Mega     |  1.44308% | 11651  |  1.443% | 0      |  0.000% | 
 | 51   | Kyogre             |  1.39466% | 11260  |  1.395% | 0      |  0.000% | 
 | 52   | Bisharp            |  1.36245% | 11000  |  1.362% | 0      |  0.000% | 
 | 53   | Golduck            |  1.35886% | 10971  |  1.359% | 0      |  0.000% | 
 | 54   | Gyarados           |  1.32889% | 10729  |  1.329% | 0      |  0.000% | 
 | 55   | Milotic            |  1.31947% | 10653  |  1.319% | 0      |  0.000% | 
 | 56   | Jumpluff           |  1.25853% | 10161  |  1.259% | 0      |  0.000% | 
 | 57   | Venusaur-Mega      |  1.25061% | 10097  |  1.251% | 0      |  0.000% | 
 | 58   | Metagross-Mega     |  1.20998% | 9769   |  1.210% | 0      |  0.000% | 
 | 59   | Gastrodon          |  1.20490% | 9728   |  1.205% | 0      |  0.000% | 
 | 60   | Terrakion          |  1.17419% | 9480   |  1.174% | 0      |  0.000% | 
 | 61   | Breloom            |  1.14434% | 9239   |  1.144% | 0      |  0.000% | 
 | 62   | Rotom-Wash         |  1.14173% | 9218   |  1.142% | 0      |  0.000% | 
 | 63   | Zekrom             |  1.08922% | 8794   |  1.089% | 0      |  0.000% | 
 | 64   | Mienshao           |  1.06643% | 8610   |  1.066% | 0      |  0.000% | 
 | 65   | Garchomp           |  1.02110% | 8244   |  1.021% | 0      |  0.000% | 
 | 66   | Lugia              |  1.01156% | 8167   |  1.012% | 0      |  0.000% | 
 | 67   | Dragonite          |  1.00276% | 8096   |  1.003% | 0      |  0.000% | 
 | 68   | Lucario-Mega       |  0.99632% | 8044   |  0.996% | 0      |  0.000% | 
 | 69   | Scizor-Mega        |  0.97391% | 7863   |  0.974% | 0      |  0.000% | 
 | 70   | Charizard-Mega-Y   |  0.96437% | 7786   |  0.964% | 0      |  0.000% | 
 | 71   | Sableye-Mega       |  0.94579% | 7636   |  0.946% | 0      |  0.000% | 
 | 72   | Lopunny-Mega       |  0.92040% | 7431   |  0.920% | 0      |  0.000% | 
 | 73   | Hydreigon          |  0.89389% | 7217   |  0.894% | 0      |  0.000% | 
 | 74   | Gothitelle         |  0.89030% | 7188   |  0.890% | 0      |  0.000% | 
 | 75   | Klefki             |  0.87333% | 7051   |  0.873% | 0      |  0.000% | 
 | 76   | Heatran            |  0.86739% | 7003   |  0.867% | 0      |  0.000% | 
 | 77   | Azumarill          |  0.86429% | 6978   |  0.864% | 0      |  0.000% | 
 | 78   | Gyarados-Mega      |  0.85760% | 6924   |  0.858% | 0      |  0.000% | 
 | 79   | Lapras             |  0.85079% | 6869   |  0.851% | 0      |  0.000% | 
 | 80   | Serperior          |  0.77833% | 6284   |  0.778% | 0      |  0.000% | 
 | 81   | Musharna           |  0.77338% | 6244   |  0.773% | 0      |  0.000% | 
 | 82   | Espeon             |  0.75703% | 6112   |  0.757% | 0      |  0.000% | 
 | 83   | Clefable           |  0.73994% | 5974   |  0.740% | 0      |  0.000% | 
 | 84   | Shedinja           |  0.67528% | 5452   |  0.675% | 0      |  0.000% | 
 | 85   | Snorlax            |  0.66723% | 5387   |  0.667% | 0      |  0.000% | 
 | 86   | Machamp            |  0.64630% | 5218   |  0.646% | 0      |  0.000% | 
 | 87   | Mewtwo-Mega-X      |  0.63887% | 5158   |  0.639% | 0      |  0.000% | 
 | 88   | Blaziken-Mega      |  0.63788% | 5150   |  0.638% | 0      |  0.000% | 
 | 89   | Exeggutor          |  0.60592% | 4892   |  0.606% | 0      |  0.000% | 
 | 90   | Conkeldurr         |  0.59849% | 4832   |  0.598% | 0      |  0.000% | 
 | 91   | Swampert-Mega      |  0.59613% | 4813   |  0.596% | 0      |  0.000% | 
 | 92   | Thundurus-Therian  |  0.58685% | 4738   |  0.587% | 0      |  0.000% | 
 | 93   | Tornadus           |  0.57731% | 4661   |  0.577% | 0      |  0.000% | 
 | 94   | Slowbro            |  0.55303% | 4465   |  0.553% | 0      |  0.000% | 
 | 95   | Dusclops           |  0.54820% | 4426   |  0.548% | 0      |  0.000% | 
 | 96   | Ambipom            |  0.53643% | 4331   |  0.536% | 0      |  0.000% | 
 | 97   | Politoed           |  0.53235% | 4298   |  0.532% | 0      |  0.000% | 
 | 98   | Tyranitar          |  0.52838% | 4266   |  0.528% | 0      |  0.000% | 
 | 99   | Charizard-Mega-X   |  0.52776% | 4261   |  0.528% | 0      |  0.000% | 
 | 100  | Venusaur           |  0.52516% | 4240   |  0.525% | 0      |  0.000% | 
 | 101  | Umbreon            |  0.49085% | 3963   |  0.491% | 0      |  0.000% | 
