 Total battles: 1417404
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 28.04525% | 795029 | 28.045% | 402636 | 31.082% | 
 | 2    | Iron Hands         | 25.55517% | 724440 | 25.555% | 403758 | 31.168% | 
 | 3    | Amoonguss          | 24.88211% | 705360 | 24.882% | 258338 | 19.943% | 
 | 4    | Iron Bundle        | 23.39040% | 663073 | 23.390% | 310945 | 24.004% | 
 | 5    | Gholdengo          | 22.42716% | 635767 | 22.427% | 289634 | 22.359% | 
 | 6    | Roaring Moon       | 21.69142% | 614910 | 21.691% | 278753 | 21.519% | 
 | 7    | Arcanine           | 16.82287% | 476896 | 16.823% | 227714 | 17.579% | 
 | 8    | Meowscarada        | 15.39670% | 436467 | 15.397% | 189311 | 14.614% | 
 | 9    | Torkoal            | 15.14780% | 429411 | 15.148% | 224429 | 17.325% | 
 | 10   | Armarouge          | 14.18879% | 402225 | 14.189% | 196256 | 15.150% | 
 | 11   | Garganacl          | 13.83529% | 392204 | 13.835% | 193364 | 14.927% | 
 | 12   | Indeedee-F         | 13.53746% | 383761 | 13.537% | 165279 | 12.759% | 
 | 13   | Kingambit          | 13.49217% | 382477 | 13.492% | 167052 | 12.896% | 
 | 14   | Murkrow            | 13.11397% | 371756 | 13.114% | 110877 |  8.559% | 
 | 15   | Annihilape         | 12.19843% | 345802 | 12.198% | 166932 | 12.886% | 
 | 16   | Maushold           | 10.65913% | 302166 | 10.659% | 122716 |  9.473% | 
 | 17   | Great Tusk         |  9.76941% | 276944 |  9.769% | 153513 | 11.851% | 
 | 18   | Brute Bonnet       |  9.37460% | 265752 |  9.375% | 115312 |  8.902% | 
 | 19   | Pelipper           |  9.20355% | 260903 |  9.204% | 122478 |  9.455% | 
 | 20   | Grimmsnarl         |  9.08315% | 257490 |  9.083% | 101020 |  7.798% | 
 | 21   | Garchomp           |  9.05493% | 256690 |  9.055% | 130725 | 10.091% | 
 | 22   | Farigiraf          |  8.07116% | 228802 |  8.071% | 72451  |  5.593% | 
 | 23   | Sylveon            |  7.98618% | 226393 |  7.986% | 110614 |  8.539% | 
 | 24   | Iron Moth          |  7.66327% | 217239 |  7.663% | 108654 |  8.388% | 
 | 25   | Talonflame         |  7.64376% | 216686 |  7.644% | 68010  |  5.250% | 
 | 26   | Hydreigon          |  7.28078% | 206396 |  7.281% | 91246  |  7.044% | 
 | 27   | Palafin            |  7.19865% | 204068 |  7.199% | 119521 |  9.227% | 
 | 28   | Gastrodon          |  7.04238% | 199638 |  7.042% | 93085  |  7.186% | 
 | 29   | Dondozo            |  6.93080% | 196475 |  6.931% | 104408 |  8.060% | 
 | 30   | Dragonite          |  6.92724% | 196374 |  6.927% | 86346  |  6.666% | 
 | 31   | Tatsugiri          |  6.79101% | 192512 |  6.791% | 106138 |  8.193% | 
 | 32   | Volcarona          |  6.60655% | 187283 |  6.607% | 82864  |  6.397% | 
 | 33   | Baxcalibur         |  6.09724% | 172845 |  6.097% | 81050  |  6.257% | 
 | 34   | Mimikyu            |  6.02404% | 170770 |  6.024% | 69548  |  5.369% | 
 | 35   | Tyranitar          |  5.64088% | 159908 |  5.641% | 79095  |  6.106% | 
 | 36   | Scizor             |  5.03276% | 142669 |  5.033% | 62166  |  4.799% | 
 | 37   | Tauros-Paldea-Aqua |  4.68945% | 132937 |  4.689% | 64257  |  4.960% | 
 | 38   | Iron Valiant       |  4.68494% | 132809 |  4.685% | 66538  |  5.136% | 
 | 39   | Rotom-Wash         |  4.66589% | 132269 |  4.666% | 62100  |  4.794% | 
 | 40   | Dragapult          |  4.41949% | 125284 |  4.419% | 61269  |  4.730% | 
 | 41   | Scream Tail        |  4.27147% | 121088 |  4.271% | 49619  |  3.830% | 
 | 42   | Skeledirge         |  4.13414% | 117195 |  4.134% | 54887  |  4.237% | 
 | 43   | Ceruledge          |  4.13252% | 117149 |  4.133% | 58214  |  4.494% | 
 | 44   | Sandy Shocks       |  3.88919% | 110251 |  3.889% | 57334  |  4.426% | 
 | 45   | Abomasnow          |  3.77313% | 106961 |  3.773% | 50556  |  3.903% | 
 | 46   | Glimmora           |  3.48154% | 98695  |  3.482% | 45507  |  3.513% | 
 | 47   | Kilowattrel        |  3.35903% | 95222  |  3.359% | 36706  |  2.834% | 
 | 48   | Tinkaton           |  3.19418% | 90549  |  3.194% | 40329  |  3.113% | 
 | 49   | Gothitelle         |  3.18311% | 90235  |  3.183% | 41399  |  3.196% | 
 | 50   | Azumarill          |  3.08508% | 87456  |  3.085% | 42899  |  3.312% | 
 | 51   | Slither Wing       |  2.89889% | 82178  |  2.899% | 41361  |  3.193% | 
 | 52   | Pawmot             |  2.81180% | 79709  |  2.812% | 38523  |  2.974% | 
 | 53   | Sableye            |  2.77564% | 78684  |  2.776% | 29674  |  2.291% | 
 | 54   | Salamence          |  2.64857% | 75082  |  2.649% | 33406  |  2.579% | 
 | 55   | Oranguru           |  2.64036% | 74849  |  2.640% | 30860  |  2.382% | 
 | 56   | Pincurchin         |  2.63302% | 74641  |  2.633% | 32448  |  2.505% | 
 | 57   | Arboliva           |  2.61810% | 74218  |  2.618% | 31822  |  2.457% | 
 | 58   | Tauros-Paldea-Blaze |  2.60363% | 73808  |  2.604% | 36165  |  2.792% | 
 | 59   | Corviknight        |  2.52775% | 71657  |  2.528% | 26908  |  2.077% | 
 | 60   | Hatterene          |  2.50588% | 71037  |  2.506% | 30650  |  2.366% | 
 | 61   | Iron Jugulis       |  2.47608% | 70192  |  2.476% | 30962  |  2.390% | 
 | 62   | Hariyama           |  2.36693% | 67098  |  2.367% | 32280  |  2.492% | 
 | 63   | Gyarados           |  2.26527% | 64216  |  2.265% | 29591  |  2.284% | 
 | 64   | Lilligant          |  2.23990% | 63497  |  2.240% | 21711  |  1.676% | 
 | 65   | Gallade            |  2.06081% | 58420  |  2.061% | 28362  |  2.189% | 
 | 66   | Iron Treads        |  1.92517% | 54575  |  1.925% | 28055  |  2.166% | 
 | 67   | Breloom            |  1.84189% | 52214  |  1.842% | 23388  |  1.805% | 
 | 68   | Flamigo            |  1.80136% | 51065  |  1.801% | 27556  |  2.127% | 
 | 69   | Quaquaval          |  1.61224% | 45704  |  1.612% | 22512  |  1.738% | 
 | 70   | Cetitan            |  1.58946% | 45058  |  1.589% | 20677  |  1.596% | 
 | 71   | Rotom-Heat         |  1.58279% | 44869  |  1.583% | 21989  |  1.697% | 
