 Total battles: 1878825
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 38.71971% | 1454951 | 38.720% | 729736 | 42.412% | 
 | 2    | Iron Bundle        | 31.00749% | 1165153 | 31.007% | 561782 | 32.651% | 
 | 3    | Iron Hands         | 30.47809% | 1145260 | 30.478% | 617069 | 35.864% | 
 | 4    | Amoonguss          | 26.17160% | 983437 | 26.172% | 371485 | 21.591% | 
 | 5    | Arcanine           | 24.76388% | 930540 | 24.764% | 433178 | 25.176% | 
 | 6    | Great Tusk         | 17.91202% | 673071 | 17.912% | 364773 | 21.201% | 
 | 7    | Gholdengo          | 17.66293% | 663711 | 17.663% | 299077 | 17.382% | 
 | 8    | Roaring Moon       | 17.09246% | 642275 | 17.092% | 268052 | 15.579% | 
 | 9    | Kingambit          | 14.80630% | 556369 | 14.806% | 238494 | 13.861% | 
 | 10   | Indeedee-F         | 14.17737% | 532736 | 14.177% | 235561 | 13.691% | 
 | 11   | Armarouge          | 13.95582% | 524411 | 13.956% | 262358 | 15.248% | 
 | 12   | Annihilape         | 13.70048% | 514816 | 13.700% | 252072 | 14.650% | 
 | 13   | Talonflame         | 12.68522% | 476666 | 12.685% | 138081 |  8.025% | 
 | 14   | Maushold           | 12.04716% | 452690 | 12.047% | 186586 | 10.844% | 
 | 15   | Palafin            | 11.07227% | 416057 | 11.072% | 235410 | 13.682% | 
 | 16   | Torkoal            | 10.84838% | 407644 | 10.848% | 214786 | 12.483% | 
 | 17   | Garganacl          | 10.61978% | 399054 | 10.620% | 187090 | 10.874% | 
 | 18   | Dragonite          | 10.55790% | 396729 | 10.558% | 160427 |  9.324% | 
 | 19   | Brute Bonnet       |  9.97427% | 374798 |  9.974% | 156833 |  9.115% | 
 | 20   | Grimmsnarl         |  9.28338% | 348837 |  9.283% | 132519 |  7.702% | 
 | 21   | Dondozo            |  8.38684% | 315148 |  8.387% | 166119 |  9.655% | 
 | 22   | Tyranitar          |  8.37627% | 314751 |  8.376% | 149872 |  8.711% | 
 | 23   | Tatsugiri          |  8.33697% | 313274 |  8.337% | 176483 | 10.257% | 
 | 24   | Meowscarada        |  8.25500% | 310194 |  8.255% | 139180 |  8.089% | 
 | 25   | Gastrodon          |  8.10770% | 304659 |  8.108% | 146777 |  8.531% | 
 | 26   | Murkrow            |  7.67200% | 288287 |  7.672% | 88010  |  5.115% | 
 | 27   | Iron Moth          |  7.55658% | 283950 |  7.557% | 131091 |  7.619% | 
 | 28   | Sylveon            |  7.22433% | 271465 |  7.224% | 132527 |  7.702% | 
 | 29   | Garchomp           |  6.79512% | 255337 |  6.795% | 129202 |  7.509% | 
 | 30   | Baxcalibur         |  6.74398% | 253415 |  6.744% | 113735 |  6.610% | 
 | 31   | Volcarona          |  6.73091% | 252924 |  6.731% | 109744 |  6.378% | 
 | 32   | Gothitelle         |  6.37569% | 239576 |  6.376% | 104956 |  6.100% | 
 | 33   | Pelipper           |  6.11693% | 229853 |  6.117% | 106853 |  6.210% | 
 | 34   | Sandy Shocks       |  5.45748% | 205073 |  5.457% | 107978 |  6.276% | 
 | 35   | Hydreigon          |  5.18755% | 194930 |  5.188% | 83692  |  4.864% | 
 | 36   | Scream Tail        |  5.01856% | 188580 |  5.019% | 83162  |  4.833% | 
 | 37   | Farigiraf          |  4.87275% | 183101 |  4.873% | 60543  |  3.519% | 
 | 38   | Scizor             |  4.63699% | 174242 |  4.637% | 76749  |  4.461% | 
 | 39   | Mimikyu            |  4.32598% | 162555 |  4.326% | 68528  |  3.983% | 
 | 40   | Glimmora           |  3.87902% | 145760 |  3.879% | 66483  |  3.864% | 
 | 41   | Ceruledge          |  3.83836% | 144232 |  3.838% | 72016  |  4.186% | 
 | 42   | Corviknight        |  3.45421% | 129797 |  3.454% | 51544  |  2.996% | 
