 Total battles: 807139
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 41.50698% | 670038 | 41.507% | 347732 | 47.213% | 
 | 2    | Iron Bundle        | 29.60265% | 477869 | 29.603% | 227827 | 30.933% | 
 | 3    | Iron Hands         | 26.21153% | 423127 | 26.212% | 228172 | 30.980% | 
 | 4    | Amoonguss          | 26.20348% | 422997 | 26.203% | 161022 | 21.862% | 
 | 5    | Great Tusk         | 22.18788% | 358174 | 22.188% | 189138 | 25.680% | 
 | 6    | Arcanine           | 22.01826% | 355436 | 22.018% | 161085 | 21.871% | 
 | 7    | Gholdengo          | 18.47606% | 298255 | 18.476% | 138582 | 18.816% | 
 | 8    | Dragonite          | 16.13297% | 260431 | 16.133% | 98498  | 13.373% | 
 | 9    | Palafin            | 15.39190% | 248468 | 15.392% | 136354 | 18.513% | 
 | 10   | Maushold           | 14.71296% | 237508 | 14.713% | 98375  | 13.357% | 
 | 11   | Kingambit          | 14.67250% | 236855 | 14.673% | 99165  | 13.464% | 
 | 12   | Torkoal            | 14.42645% | 232883 | 14.426% | 122630 | 16.650% | 
 | 13   | Indeedee-F         | 14.12000% | 227936 | 14.120% | 100769 | 13.682% | 
 | 14   | Armarouge          | 14.05675% | 226915 | 14.057% | 110167 | 14.958% | 
 | 15   | Roaring Moon       | 13.64443% | 220259 | 13.644% | 90303  | 12.261% | 
 | 16   | Annihilape         | 13.55405% | 218800 | 13.554% | 102422 | 13.906% | 
 | 17   | Talonflame         | 13.23886% | 213712 | 13.239% | 59908  |  8.134% | 
 | 18   | Tyranitar          |  9.96061% | 160792 |  9.961% | 77230  | 10.486% | 
 | 19   | Baxcalibur         |  8.61004% | 138990 |  8.610% | 65494  |  8.892% | 
 | 20   | Dondozo            |  8.33512% | 134552 |  8.335% | 74230  | 10.078% | 
 | 21   | Tatsugiri          |  8.22746% | 132814 |  8.227% | 76940  | 10.446% | 
 | 22   | Garganacl          |  8.02613% | 129564 |  8.026% | 61800  |  8.391% | 
